Year,Variable, Klamath , Siletz , Umatilla , Warm Springs , Colville , Neah bay , Spokane , Tulalip , Yakima ,Cushman-Taholah
1913,patent_in_fee_issues_since_1906|total_acreage,62335.97,120,14526.51,1000,2785.55, NA ,780,654.06,27675.69,444.9
1913,patent_in_fee_issues|applications_received,1,1,13,0,291, NA ,1,0,7,0
1913,patent_in_fee_issues|applications_denied,0,0,8,0,780, NA ,0,0,2,0
1913,patent_in_fee_issues|applications_approved,1,1,5,0,490.21, NA ,1,0,5,0
1913,patent_in_fee_issues|acreage_approved,160,40,256.64,0,827.43, NA ,120,0,178.78,0
1913,sale_of_noncompetent_land|number_of_tracts,1,1,1, NA ,1, NA ,1,4,10,3
1913,sale_of_noncompetent_land|acreage,160,80,38.64, NA ,61.7, NA ,120,398.35,534.75,138.86
1913,sale_of_noncompetent_land|total_proceeds,850,1501,760, NA ,1872.6, NA ,4860,15279.35,23117,4100
1913,sale_of_noncompetent_land|average_price_per_acre,5.31,18.76,19.67, NA ,30.35, NA ,40.5,38.36,43.23,29.53
1913,sale_of_inherited_land|number_of_tracts,0,3,1, NA ,0, NA ,0,0,19,0
1913,sale_of_inherited_land|acreage,0,180,64, NA ,0, NA ,0,0,1280,0
1913,sale_of_inherited_land|total_proceeds,0,3405,4512, NA ,0, NA ,0,0,36727,0
1913,sale_of_inherited_land|average_price_per_acre,0,18.91,70.5, NA ,0, NA ,0,0,28.69,0
1913,sale_of_land|total_number_of_tracts,1,4,2, NA ,1, NA ,1,4,29,3
1913,sale_of_land|total_acreage,160,260,102.64, NA ,61.7, NA ,120,398.35,1814.75,138.86
1913,sale_of_land|total_proceeds,850,4906,5272, NA ,1872.6, NA ,4860,15279.35,59844,4100
1913,sale_of_land|total_average_price_per_acre,5.31,18.87,51.36, NA ,30.35, NA ,40.5,38.36,32.92,29.53
1914,number_of_allotments,0,0,0,0,0,0,0,0,0,0
1914,allotted|total_acreage,207374,77442,82444,139972,74944,3728,64794,49305,294406,93757
1914,unallotted|total_acreage,811802,0,74330,322832,1296336,19952,82648,389,798413,168888
1914,total_reservation_acreage,1019176,77442,156774,462804,1371280,23680,147442,49694,1092819,262645
1914,patent_in_fee_issues_since_1906|number_of_original_allotment,961,18,216,3,45, NA ,14,9,112,4
1914,patent_in_fee_issues_since_1906|acreage_original_allotment,62980.9,1360.06,12716.99,360,3629.95, NA ,1356.95,1417.66,7827.43,371
1914,patent_in_fee_issues_since_1906|number_of_inherited_land,5,2,39,5,1, NA ,0,1,253,3
1914,patent_in_fee_issues_since_1906|acreage_inherited_land,800,162.72,2926.89,760,89, NA ,0,163.85,20248.26,153.9
1914,patent_in_fee_issues_since_1906|total_number,966,20,255,8,46, NA ,14,10,365,7
1914,patent_in_fee_issues_since_1906|total_acreage,63780.9,1522.78,15643.88,1120,3718.95, NA ,1356.95,1581.51,28075.69,524.9
1914,patent_in_fee_issues|applications_received,10,20,22,1,11, NA ,7,9,10,7
1914,patent_in_fee_issues|applications_denied,1,2,6,0,0, NA ,0,1,5,6
1914,patent_in_fee_issues|applications_approved,9,18,16,1,11, NA ,7,8,5,1
1914,patent_in_fee_issues|acreage_approved,1444.93,1402.78,1117.37,120,844.4, NA ,576.95,927.45,400,80
1914,sale_of_noncompetent_land|number_of_tracts,3,2,0, NA ,1, NA , NA , NA ,6,1
1914,sale_of_noncompetent_land|acreage,459.58,21,0, NA ,160, NA , NA , NA ,166.38,28.5
1914,sale_of_noncompetent_land|total_proceeds,2500,600,0, NA ,1500, NA , NA , NA ,8409,1575
1914,sale_of_noncompetent_land|average_price_per_acre,5.44,28.57,0, NA ,9.38, NA , NA , NA ,50.54,55.2631578947368
1914,sale_of_inherited_land|number_of_tracts,22,6,2, NA ,1, NA , NA , NA ,5,2
1914,sale_of_inherited_land|acreage,4205.71,301.5,191.53, NA ,77.9, NA , NA , NA ,382.35,115.4
1914,sale_of_inherited_land|total_proceeds,20549,4955.55,17250, NA ,945, NA , NA , NA ,17685,10104
1914,sale_of_inherited_land|average_price_per_acre,4.89,16.44,90.06, NA ,12.13, NA , NA , NA ,46.25,87.5563258232236
1914,sale_of_land|total_number_of_tracts,25,8,2, NA ,2, NA , NA , NA ,11,3
1914,sale_of_land|total_acreage,4665.29,322.5,191.53, NA ,237.9, NA , NA , NA ,548.73,143.9
1914,sale_of_land|total_proceeds,23049,5555.55,17250, NA ,2445, NA , NA , NA ,26094,11679
1914,sale_of_land|total_average_price_per_acre,4.94,17.23,90.06, NA ,10.28, NA , NA , NA ,47.55,81.1605281445448
1915,number_of_allotments,1345,820,1113,966,695,373,626,395,4485,1123
1915,allotted|total_acreage,207374,77442,82444,140132,74271,3728,64794,49305,451609,93757
1915,unallotted|total_acreage,811802,0,74330,322672,1296336,19952,82648,389,584853,168888
1915,total_reservation_acreage,1019176,77442,156774,462804,1370607,23680,147442,49694,1036462,262645
